0,1,2
7.5.2,Accounting for bolt-load scatter at assembly..................................................................................36,
7.6,"Internal forces in subsequent conditions ( I = 1, 2, …) ....................................................................37",
8,Load limits............................................................................................................................................38,
8.1,General .................................................................................................................................................38,
8.2,Bolts......................................................................................................................................................38,
8.3,Gasket...................................................................................................................................................39,
8.4,Integral flange and collar....................................................................................................................39,
8.5,Blank flange .........................................................................................................................................41,
8.6,Loose flange with collar......................................................................................................................42,
Annex A (informative) Dimensions of standard metric bolts .......................................................................43,Annex A (informative) Dimensions of standard metric bolts .......................................................................43,
Annex B (informative) Tightening ...................................................................................................................44,Annex B (informative) Tightening ...................................................................................................................44,
B.1,Scatter of initial bolt load of a single bolt -Indicative values ε 1- and ε 1+ for a single bolt,.........44
B.2,Scatter for the global load of all the bolts.........................................................................................44,
B.3,Manual uncontrolled tightening.........................................................................................................45,
B.4,Assembly using torque wrench.........................................................................................................45,
B.5,Assembly using bolt tensioner..........................................................................................................46,
Annex C (informative) Flange rotations..........................................................................................................48,Annex C (informative) Flange rotations..........................................................................................................48,
C.1,General .................................................................................................................................................48,
C.2,Use of flange rotation..........................................................................................................................48,
C.3,Calculation of flange rotations...........................................................................................................48,
Annex D (informative) Use of the calculation method .................................................................................50,Annex D (informative) Use of the calculation method .................................................................................50,
D.1,Calculation method principle .............................................................................................................50,
D.2,Mechanical model................................................................................................................................51,
D.3,Required checks..................................................................................................................................52,
D.4,Calculation sequence..........................................................................................................................52,
Annex E (informative) Gasket/flange face friction coefficients examples ..................................................54,Annex E (informative) Gasket/flange face friction coefficients examples ..................................................54,
Annex,"F (normative) Determination of ∆ eGc,I based on a given P QR .............................................................55",
F.1,Determination of the deflection occurring during a P QR test ..........................................................55,
F.2,Determination of the deflection to be taken into account in the calculation ................................56,
Annex G (informative) Sealing gasket parameter when no leakage rate is specified ...............................57,Annex G (informative) Sealing gasket parameter when no leakage rate is specified ...............................57,
Annex H (informative) Alternative calculation procedure taking into account the plastic,deformation of the gasket in subsequent load conditions procedures (after,assembly)............58
H.1,Introduction..........................................................................................................................................58,
H.2,Calculation procedure.........................................................................................................................58,
H.2.1,General description.............................................................................................................................58,
H.2.2 H.2.3,No additional plastic deformation .....................................................................................................59 Additional plastic deformation...........................................................................................................59,
H.3,Flat gaskets..........................................................................................................................................59,
H.3.1,Flat gaskets with small or median deformations.............................................................................59,
H.3.2,Flat gaskets with greater deformations ............................................................................................61,
H.4,"Metal gaskets with curved surfaces (Figures 3b, c, e, f ) ................................................................62",
H.5,Metal gaskets with octagonal section (Figure 3d) ...........................................................................62,
"Annex I (informative) Available, incomplete models for conversion of the leakage rates in different conditions (based on certain flow models).......................................................................63","Annex I (informative) Available, incomplete models for conversion of the leakage rates in different conditions (based on certain flow models).......................................................................63",
I.1,Introduction and warning,
,...................................................................................................................63 fundamentals..................................................................................................................63,
I.2 I.2.1,Flow theory Transport modes.................................................................................................................................63,
I.2.2,Case of gases ......................................................................................................................................64,
I.2.3,Case of liquids: Parallel capillary model...........................................................................................65,
I.3,Factors of influence on the leakage rate of gaskets and gasketed joints.....................................65,
I.3.1,List of identified factors......................................................................................................................65,
I.3.2,Limits and restriction of the proposed models................................................................................65,
I.3.3 I.3.4,Dependence on pressure ...................................................................................................................66 Dependence on temperature..............................................................................................................67,
